,event_date,event_type,country,admin1,actor1,actor2,assoc_actor_1,assoc_actor_2
42227,02 November 2020,Violence against civilians,Mali,Segou,Unidentified Armed Group (Mali),Civilians (Mali),,Muslim Group (Mali); Labour Group (Mali)
42231,02 November 2020,Violence against civilians,Mali,Segou,Unidentified Armed Group (Mali),Civilians (Mali),,Muslim Group (Mali)
42527,01 November 2020,Violence against civilians,Mali,Segou,Dozo Communal Militia (Mali),Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
42530,01 November 2020,Violence against civilians,Mali,Segou,Dozo Communal Militia (Mali),Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
42587,01 November 2020,Strategic developments,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
42621,01 November 2020,Violence against civilians,Mali,Segou,Unidentified Armed Group (Mali),Civilians (Mali),,
42775,01 November 2020,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,
42797,01 November 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
42801,01 November 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
43160,31 October 2020,Riots,Mali,Tombouctou,Rioters (Mali),,Military Forces of Mali (2020-) Operational Coordination Mechanism,
43223,31 October 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
43230,31 October 2020,Violence against civilians,Mali,Segou,Dozo Communal Militia (Mali),Civilians (Mali),,Labour Group (Mali)
43238,31 October 2020,Strategic developments,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
43515,31 October 2020,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
43519,31 October 2020,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
43523,31 October 2020,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
43528,31 October 2020,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
43569,31 October 2020,Battles,Mali,Segou,Fulani Ethnic Militia (Mali),Dozo Communal Militia (Mali),Pastoralists (Mali),
43964,30 October 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Dozo Communal Militia (Mali),,
43968,30 October 2020,Violence against civilians,Mali,Segou,Dozo Communal Militia (Mali),Civilians (Mali),,
43987,30 October 2020,Strategic developments,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
44020,30 October 2020,Protests,Mali,Kidal,Protesters (Mali),,,
44023,30 October 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
44310,30 October 2020,Protests,Mali,Tombouctou,Protesters (Mali),,Muslim Group (Mali),
44363,30 October 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Dozo Communal Militia (Mali),,
44379,30 October 2020,Battles,Mali,Mopti,Military Forces of France (2017-),Ansaroul Islam,,JNIM: Group for Support of Islam and Muslims
44743,29 October 2020,Violence against civilians,Mali,Segou,Dozo Communal Militia (Mali),Civilians (Mali),,Fulani Ethnic Group (Mali); Tuareg Ethnic Group (Mali); Pastoralists (Mali)
44767,29 October 2020,Protests,Mali,Kidal,Protesters (Mali),,Muslim Group (Mali),
44830,29 October 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
44960,29 October 2020,Strategic developments,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
45247,29 October 2020,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
45599,28 October 2020,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali); Yanda-Tourgo Communal Group (Mali)
45685,28 October 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
45713,28 October 2020,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),MAA: Arab Movement of the Azawad (CMA),,CMA: Coordination of Movements of the Azawad
45769,28 October 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
45956,28 October 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
46054,28 October 2020,Protests,Mali,Bamako,Protesters (Mali),,Muslim Group (Mali),
46146,28 October 2020,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
46814,27 October 2020,Strategic developments,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Health Workers (Mali)
46945,27 October 2020,Violence against civilians,Mali,Mopti,Military Forces of Mali (2020-),Civilians (Mali),,
47870,26 October 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
47876,26 October 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
48462,25 October 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
48510,25 October 2020,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),Military Forces of Mali (2020-),
48650,25 October 2020,Violence against civilians,Mali,Mopti,Dozo Communal Militia (Mali),Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
48846,25 October 2020,Violence against civilians,Mali,Mopti,Dozo Communal Militia (Mali),Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
49253,24 October 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,Farmers (Mali)
49814,23 October 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Dozo Communal Militia (Mali),,
50014,23 October 2020,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Taganasitin Communal Group (Mali)
50453,22 October 2020,Strategic developments,Mali,Segou,Military Forces of Mali (2020-),JNIM: Group for Support of Islam and Muslims,,
50455,22 October 2020,Violence against civilians,Mali,Mopti,Military Forces of Mali (2020-),Civilians (Mali),Dan Na Ambassagou,Fulani Ethnic Group (Mali); Pastoralists (Mali)
50629,22 October 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
50664,22 October 2020,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,Labour Group (Mali)
50683,22 October 2020,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Miners (Mali)
50686,22 October 2020,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Miners (Mali)
50890,22 October 2020,Battles,Mali,Mopti,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
51391,21 October 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
51805,21 October 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
52182,20 October 2020,Protests,Mali,Kayes,Protesters (Mali),,,
52350,20 October 2020,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,Women (Mali)
52439,20 October 2020,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,Former Government of Mali (2013-2020)
52463,20 October 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Dogon Ethnic Group (Mali); Labour Group (Mali)
52499,20 October 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
52502,20 October 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
52554,20 October 2020,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,
52934,19 October 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali); Birga-Dogon Communal Group (Mali)
53302,19 October 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
53651,18 October 2020,Protests,Mali,Segou,Protesters (Mali),,Women (Mali),
53656,18 October 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Dozo Communal Militia (Mali),,
53661,18 October 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,Farmers (Mali)
53669,18 October 2020,Protests,Mali,Tombouctou,Protesters (Mali),,Songhai Ethnic Group (Mali); Tuareg Ethnic Group (Mali),
53951,18 October 2020,Strategic developments,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
54066,18 October 2020,Protests,Mali,Bamako,Protesters (Mali),,,
54176,18 October 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
54268,18 October 2020,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Guimbala Communal Group (Mali)
54381,17 October 2020,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,,,
54753,17 October 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
55081,17 October 2020,Explosions/Remote violence,Mali,Menaka,Military Forces of France (2017-),,,
55176,16 October 2020,Protests,Mali,Tombouctou,Protesters (Mali),,Arab Ethnic Group (Mali); Tuareg Ethnic Group (Mali),
55452,16 October 2020,Strategic developments,Mali,Segou,Unidentified Armed Group (Mali),Forest Guards (Mali),,
55529,16 October 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
55623,16 October 2020,Protests,Mali,Gao,Protesters (Mali),,,
55858,15 October 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
55926,15 October 2020,Battles,Mali,Mopti,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
56482,15 October 2020,Protests,Mali,Bamako,Protesters (Mali),,Labour Group (Mali); Government of Mali (2020-),
56493,15 October 2020,Explosions/Remote violence,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,Military Forces of France (2017-)
56496,15 October 2020,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Police Forces of Mali (2020-),,
56782,14 October 2020,Battles,Mali,Mopti,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
57043,14 October 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
57047,14 October 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
57220,14 October 2020,Strategic developments,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
57225,14 October 2020,Battles,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2020-),,
57440,13 October 2020,Strategic developments,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
57877,13 October 2020,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
57983,13 October 2020,Violence against civilians,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Tuareg Ethnic Group (Mali)
58001,13 October 2020,Strategic developments,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
58008,13 October 2020,Protests,Mali,Menaka,Protesters (Mali),,,
58011,13 October 2020,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,
58013,13 October 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
58017,13 October 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
58235,12 October 2020,Battles,Mali,Mopti,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
58785,12 October 2020,Battles,Mali,Bamako,Militia (Students),Militia (Students),AEEM: Association of Students and Pupils in Mali,AEEM: Association of Students and Pupils in Mali
58786,12 October 2020,Riots,Mali,Tombouctou,Rioters (Mali),Civilians (Mali),,Arab Ethnic Group (Mali)
59326,11 October 2020,Protests,Mali,Kayes,Protesters (Mali),,,
59327,11 October 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),Military Forces of France (2017-),,
59657,10 October 2020,Protests,Mali,Koulikoro,Protesters (Mali),,,
59870,10 October 2020,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),Military Forces of Niger (2011-),
60039,10 October 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
60354,09 October 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Dozo Communal Militia (Mali),,
60533,09 October 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
60537,09 October 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
60833,09 October 2020,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
61542,08 October 2020,Battles,Mali,Segou,Dozo Communal Militia (Mali),JNIM: Group for Support of Islam and Muslims,,
61546,08 October 2020,Battles,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
62340,07 October 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,Farmers (Mali)
63177,06 October 2020,Strategic developments,Mali,Bamako,Government of Mali (2020-),JNIM: Group for Support of Islam and Muslims,,
63178,06 October 2020,Riots,Mali,Kayes,Rioters (Mali),Rioters (Mali),Soninke Ethnic Group (Mali),Soninke Ethnic Group (Mali)
63183,06 October 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
63186,06 October 2020,Violence against civilians,Mali,Segou,Dozo Communal Militia (Mali),Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
63341,06 October 2020,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Military Forces of Mali (2020-),,
64096,05 October 2020,Strategic developments,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
64185,05 October 2020,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
64841,04 October 2020,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
65308,03 October 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
65664,03 October 2020,Violence against civilians,Mali,Mopti,Dozo Communal Militia (Mali),Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
66024,02 October 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
66649,01 October 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
66672,01 October 2020,Battles,Mali,Mopti,Dan Na Ambassagou,Dogon Ethnic Militia (Mali),,Farmers (Mali)
66675,01 October 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
66681,01 October 2020,Explosions/Remote violence,Mali,Gao,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
66687,01 October 2020,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Police Forces of Mali (2020-),,
